web_scraper_order,web_scraper_start_url,price_raw,distance_zentrum,distance_skilift,zimmer_grösse
"1763924145-1","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 5.006","Zentrum: 1,6 km","350 m vom Skilift entfernt","Apartment mit 3 Schlafzimmern und Balkon"
"1763924145-2","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 149","Zentrum: 0,7 km","100 m vom Skilift entfernt","Superior Zimmer West mit Balkon"
"1763924145-3","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 142","Zentrum: 200 m","900 m vom Skilift entfernt","Zimmer mit Kingsize-Bett"
"1763924145-4","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 167","Zentrum: 350 m","550 m vom Skilift entfernt","Superior Einzelzimmer"
"1763924145-5","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 151","Zentrum: 200 m","950 m vom Skilift entfernt","Standard Doppelzimmer"
"1763924145-6","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 125","Zentrum: 0,8 km","100 m vom Skilift entfernt","Standard Einzelzimmer"
"1763924145-7","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 143","Zentrum: 1,2 km","350 m vom Skilift entfernt","Classic Einzelzimmer"
"1763924145-8","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 90","Zentrum: 0,7 km","150 m vom Skilift entfernt","Einzelzimmer"
"1763924145-9","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 139","Zentrum: 400 m","750 m vom Skilift entfernt","Doppelzimmer"
"1763924145-10","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 182","Zentrum: 450 m","650 m vom Skilift entfernt","Standard Einzelzimmer"
"1763924145-11","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 148","Zentrum: 1,4 km","300 m vom Skilift entfernt","Doppelzimmer mit Balkon"
"1763924145-12","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 199","Zentrum: 0,8 km","300 m vom Skilift entfernt","Standard Doppelzimmer"
"1763924145-13","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 171","Zentrum: 0,7 km","450 m vom Skilift entfernt","Einzelzimmer"
"1763924145-14","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 255","Zentrum: 0,7 km","150 m vom Skilift entfernt","Superior Unterkunft Silver mit Queensize-Bett"
