price_raw,type,distance_zentrum_meters,distance_skilift_meters,zimmer_description,zimmer_typ,zimmer_count,has_balkon
CHF 411,ferienwohnung,800,100 m,Apartment mit Blick auf die Berge,apartment,,False
CHF 134,ferienwohnung,900,600 m,Comfort Studio (2 Erwachsene),studio,2,False
CHF 120,ferienwohnung,1400,1200,Zweibettzimmer,zimmer,,False
CHF 199,ferienwohnung,800,300 m,Standard Doppelzimmer,zimmer,2,False
CHF 285,ferienwohnung,1200,100 m,Executive Doppelzimmer,zimmer,2,False
CHF 165,ferienwohnung,700,500 m,Einzelzimmer,zimmer,1,False
CHF 198,ferienwohnung,450,650 m,Standard Einzelzimmer,zimmer,1,False
CHF 1170,ferienwohnung,1300,550 m,Chalet,chalet,,False
CHF 464,ferienwohnung,900,200 m,Deluxe Apartment,apartment,,False
CHF 679,ferienwohnung,700,550 m,Apartment mit 2 Schlafzimmern,apartment,2,False
CHF 1106,ferienwohnung,5700,1900,Apartment mit Blick auf die Berge,apartment,,False
CHF 181,ferienwohnung,450,750 m,Deluxe Studio,studio,,False
CHF 253,ferienwohnung,600,600 m,Kleines Doppelzimmer,zimmer,2,False
CHF 235,ferienwohnung,700,400 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 158,ferienwohnung,14300,550 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 401,ferienwohnung,1100,250 m,Studio-Apartment,apartment,,False
CHF 431,ferienwohnung,1000,150 m,Apartment mit Blick auf die Berge,apartment,,False
CHF 206,ferienwohnung,700,100 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 313,ferienwohnung,200,950 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 6106,ferienwohnung,350,750 m,Apartment mit Balkon,apartment,,True
CHF 416,ferienwohnung,800,50 m,Apartment mit Blick auf die Berge,apartment,,False
CHF 481,ferienwohnung,1300,250 m,Apartment mit 2 Schlafzimmern und Bergblick,apartment,2,False
CHF 300,ferienwohnung,3300,300 m,Chalet mit 2 Schlafzimmern,chalet,2,False
CHF 3916,ferienwohnung,800,150 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 771,ferienwohnung,800,40 m,Apartment mit 2 Schlafzimmern,apartment,2,False
CHF 481,ferienwohnung,150,650 m,Apartment mit 2 Schlafzimmern mit Balkon und Terrasse,apartment,2,True
CHF 766,ferienwohnung,800,150 m,Apartment mit 5 Schlafzimmern,apartment,5,False
CHF 446,ferienwohnung,3700,850 m,Apartment mit 3 Schlafzimmern,apartment,3,False
CHF 736,ferienwohnung,450,700 m,Apartment mit Blick auf die Berge,apartment,,False
CHF 5006,ferienwohnung,1600,350 m,Apartment mit 3 Schlafzimmern und Balkon,apartment,3,True
CHF 3651,ferienwohnung,200,950 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 4056,ferienwohnung,3800,950 m,Apartment mit 2 Schlafzimmern und Bergblick,apartment,2,False
CHF 3506,ferienwohnung,1300,350 m,Apartment mit 1 Schlafzimmer,apartment,1,False
CHF 1406,ferienwohnung,2000,1400,Chalet mit 2 Schlafzimmern,chalet,2,False
CHF 5006,hotel,1600,350 m,Apartment mit 3 Schlafzimmern und Balkon,apartment,3,True
